,Action,Portfolio,Price,Timestamp
275,Buy,10156.711821621519,214.13000027067662,2024-06-13 20:00:00+00:00
276,Sell,10159.031826177792,214.71000140974522,2024-06-13 21:00:00+00:00
277,Buy,10159.031826177792,214.49999857542514,2024-06-13 22:00:00+00:00
278,Sell,10158.551839766506,214.3800019726038,2024-06-13 23:00:00+00:00
279,Buy,10158.551839766506,214.6000001341343,2024-06-14 08:00:00+00:00
280,Sell,10157.071846547511,214.23000182938574,2024-06-14 09:00:00+00:00
281,Buy,10157.071846547511,213.69999927482604,2024-06-14 10:00:00+00:00
282,Sell,10156.471845974638,213.549999131608,2024-06-14 11:00:00+00:00
283,Buy,10156.471845974638,216.34499902009964,2024-06-17 16:00:00+00:00
284,Buy,10159.38784770527,217.07399945275785,2024-06-17 17:00:00+00:00
285,Sell,10166.315061600304,217.93990118963717,2024-06-17 18:00:00+00:00
286,Buy,10166.315061600304,217.05000101013184,2024-06-17 22:00:00+00:00
287,Sell,10165.395052527809,216.8199987420082,2024-06-17 23:00:00+00:00
288,Buy,10165.395052527809,216.76000044059754,2024-06-18 08:00:00+00:00
289,Sell,10165.955054233073,216.90000086691379,2024-06-18 09:00:00+00:00
290,Buy,10165.955054233073,218.1999991816759,2024-06-18 10:00:00+00:00
291,Buy,10163.995057044027,217.70999988441469,2024-06-18 11:00:00+00:00
292,Buy,10164.95506498413,217.8300008769274,2024-06-18 12:00:00+00:00
293,Buy,10159.125036883972,217.29999832236766,2024-06-18 13:00:00+00:00
294,Buy,10122.257467809579,214.66660053133964,2024-06-18 14:00:00+00:00
295,Sell,10136.340278071662,215.49500113499164,2024-06-18 15:00:00+00:00
296,Buy,10136.340278071662,213.58999799921511,2024-06-18 16:00:00+00:00
297,Sell,10138.78027923076,214.19999828898906,2024-06-18 17:00:00+00:00
298,Buy,10138.78027923076,214.0199989950657,2024-06-20 08:00:00+00:00
299,Sell,10141.180281522247,214.61999956793784,2024-06-20 09:00:00+00:00
300,Buy,10141.180281522247,214.6499987186432,2024-06-20 10:00:00+00:00
301,Buy,10140.060278111718,214.36999786601066,2024-06-20 11:00:00+00:00
302,Buy,10134.30030070617,213.65000069031714,2024-06-20 12:00:00+00:00
303,Buy,10134.850285135768,213.69999927482604,2024-06-20 13:00:00+00:00
304,Buy,10122.485525444434,212.8168021540165,2024-06-20 14:00:00+00:00
305,Buy,10095.169880856918,211.2099995312214,2024-06-20 15:00:00+00:00
306,Buy,10088.445883333372,210.87379965504408,2024-06-20 16:00:00+00:00
307,Buy,10066.912278740143,209.89499944626093,2024-06-20 17:00:00+00:00
308,Buy,10064.63229061024,209.79999994084835,2024-06-20 18:00:00+00:00
309,Sell,10070.404286990712,210.02199980163573,2024-06-20 19:00:00+00:00
310,Buy,10070.40428699071,209.49999965441225,2024-06-20 22:00:00+00:00
311,Sell,10072.48428956196,210.02000029722453,2024-06-20 23:00:00+00:00
312,Buy,10072.48428956196,209.03999950785635,2024-06-21 10:00:00+00:00
313,Sell,10076.92429555709,210.150001006639,2024-06-21 11:00:00+00:00
314,Buy,10076.92429555709,210.34999973436595,2024-06-21 12:00:00+00:00
315,Buy,10080.324295876904,211.1999998143196,2024-06-21 13:00:00+00:00
316,Buy,10074.164294677754,210.42999966442585,2024-06-21 14:00:00+00:00
317,Sell,10081.094291637106,211.05999938800335,2024-06-21 15:00:00+00:00
318,Buy,10081.094291637106,211.26929987170695,2024-06-21 16:00:00+00:00
319,Sell,10076.897088250083,210.21999902495145,2024-06-21 17:00:00+00:00
320,Buy,10076.897088250083,210.29999895501135,2024-06-21 18:00:00+00:00
321,Sell,10076.337095324201,210.16000072354078,2024-06-21 19:00:00+00:00
322,Buy,10076.337095324201,207.64999935128688,2024-06-21 21:00:00+00:00
323,Buy,10076.536694590015,207.69989916774034,2024-06-21 22:00:00+00:00
324,Buy,10074.297495472165,207.41999927800893,2024-06-21 23:00:00+00:00
325,Buy,10071.89751073944,207.220000550282,2024-06-24 08:00:00+00:00
326,Buy,10080.29750339573,207.78000006070135,2024-06-24 09:00:00+00:00
327,Buy,10067.337514726027,207.06000069016218,2024-06-24 10:00:00+00:00
328,Buy,10082.877489617224,207.79999949450493,2024-06-24 11:00:00+00:00
329,Buy,10081.727522173518,207.75000090999603,2024-06-24 12:00:00+00:00
330,Buy,10087.377493913766,207.97599977960587,2024-06-24 13:00:00+00:00
331,Buy,10106.92550941736,208.70000035381315,2024-06-24 14:00:00+00:00
332,Buy,10161.1555017883,210.5700000907421,2024-06-24 15:00:00+00:00
333,Buy,10199.552505175396,211.84990020364523,2024-06-24 16:00:00+00:00
334,Buy,10135.072493506892,209.7698998272419,2024-06-24 17:00:00+00:00
335,Buy,10118.755694690592,209.25999986423253,2024-06-24 18:00:00+00:00
336,Buy,10105.225715572948,208.8500004970312,2024-06-24 19:00:00+00:00
337,Buy,10081.425717723938,208.15000056029558,2024-06-24 20:00:00+00:00
338,Buy,10105.575725418123,208.84000078012943,2024-06-24 21:00:00+00:00
339,Buy,10102.335659113058,208.74999893832205,2024-06-24 22:00:00+00:00
340,Buy,10109.998405301483,208.9571001866579,2024-06-24 23:00:00+00:00
